Date : 2026-06-23 01:18:40
Directory : c:\mostafa\homework\Capstone Project\sophiapath-web
Total : 78 files,  52790 codes, 715 comments, 3347 blanks, all 56852 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\courses\index.js                      | JavaScript     |         17 |          0 |          4 |         21 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\courses\mobileDev.js                  | JavaScript     |      4,138 |          0 |          0 |      4,138 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\courses\philosophy.js                 | JavaScript     |      4,276 |          0 |          0 |      4,276 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\courses\physics.js                    | JavaScript     |      4,138 |          0 |          0 |      4,138 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\achievements\AchievementsPage.css | PostCSS        |        351 |         15 |         55 |        421 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\achievements\AchievementsPage.jsx | JavaScript JSX |        215 |          8 |         19 |        242 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\chat\Chat.css                     | PostCSS        |        180 |          4 |         33 |        217 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\chat\ChatListPage.jsx             | JavaScript JSX |        170 |          4 |         16 |        190 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\chat\ChatPage.jsx                 | JavaScript JSX |        293 |          8 |         35 |        336 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\editor\CodeEditor.css             | PostCSS        |        177 |          6 |         31 |        214 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\editor\CodeEditorPage.jsx         | JavaScript JSX |        308 |          9 |         23 |        340 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\profile\ProfilePage.css           | PostCSS        |        322 |          9 |         57 |        388 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\profile\ProfilePage.jsx           | JavaScript JSX |        688 |          7 |         59 |        754 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\settings\SettingsPage.css         | PostCSS        |         72 |          0 |         20 |         92 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\settings\SettingsPage.jsx         | JavaScript JSX |        210 |          0 |         14 |        224 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\index.css                                  | PostCSS        |        581 |          3 |         38 |        622 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\main.jsx                                   | JavaScript JSX |         14 |          0 |          1 |         15 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\Auth.css                             | PostCSS        |        133 |          9 |         22 |        164 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CaesarCipherExplorer.css             | PostCSS        |        305 |          0 |         46 |        351 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CaesarCipherExplorer.jsx             | JavaScript JSX |        197 |          0 |         27 |        224 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\ChallengePage.css                    | PostCSS        |        200 |          5 |         27 |        232 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\ChallengePage.jsx                    | JavaScript JSX |        341 |         12 |         37 |        390 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CourseDetailPage.css                 | PostCSS        |        335 |          0 |         56 |        391 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CourseDetailPage.jsx                 | JavaScript JSX |        293 |          5 |         25 |        323 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CyberLabPage.css                     | PostCSS        |        204 |          0 |         25 |        229 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CyberLabPage.jsx                     | JavaScript JSX |        722 |         12 |         30 |        764 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\DenialOfServiceLab.css               | PostCSS        |        224 |          0 |         40 |        264 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\DenialOfServiceLab.jsx               | JavaScript JSX |        238 |         11 |         39 |        288 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\EnigmaMachine.css                    | PostCSS        |        664 |          1 |         95 |        760 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\EnigmaMachine.jsx                    | JavaScript JSX |        352 |         18 |         61 |        431 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningContentPage.css              | PostCSS        |        657 |         17 |        105 |        779 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningContentPage.jsx              | JavaScript JSX |      2,746 |         44 |        245 |      3,035 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningPage.css                     | PostCSS        |        360 |          0 |         71 |        431 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningPage.jsx                     | JavaScript JSX |        339 |          0 |         38 |        377 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningPathPage.css                 | PostCSS        |        262 |          1 |         39 |        302 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningPathPage.jsx                 | JavaScript JSX |        991 |         24 |        101 |      1,116 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LoginPage.jsx                        | JavaScript JSX |        122 |          0 |         10 |        132 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\NavigationPage.css                   | PostCSS        |        264 |          0 |         45 |        309 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\NavigationPage.jsx                   | JavaScript JSX |        482 |          4 |         53 |        539 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\PhilosophyLabPage.jsx                | JavaScript JSX |      2,025 |         96 |        168 |      2,289 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\QuizPage.css                         | PostCSS        |        371 |          3 |         67 |        441 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\QuizPage.jsx                         | JavaScript JSX |      1,659 |         56 |        175 |      1,890 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RSAVisualizer.css                    | PostCSS        |        611 |          0 |        101 |        712 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RSAVisualizer.jsx                    | JavaScript JSX |        299 |         28 |         52 |        379 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RegisterPage.jsx                     | JavaScript JSX |        316 |          1 |         31 |        348 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\VigenereCipherExplorer.css           | PostCSS        |        569 |          1 |         84 |        654 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\VigenereCipherExplorer.jsx           | JavaScript JSX |        280 |          0 |         26 |        306 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\src\theme\theme.js                             | JavaScript     |        306 |          0 |         12 |        318 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\test_screenshot.cjs                            | JavaScript     |         15 |          3 |          7 |         25 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\test_screenshot.js                             | JavaScript     |         15 |          3 |          7 |         25 |
| c:\mostafa\homework\Capstone Project\sophiapath-web\vite.config.js                                 | JavaScript     |         31 |          1 |          2 |         34 |
| Total                                                                                              |                |     52,790 |        715 |      3,347 |     56,852 |
+----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
